STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720137,04867, 20190422,   65.4,24,   44.8,24, 9999.9, 0,  994.5,24,  10.0,24,  10.8,24,  22.0,  28.0,   80.1 ,  51.8 , 0.02A,999.9, 010010,
720137,04867, 20190423,   59.4,24,   50.6,24, 9999.9, 0,  992.8,24,   9.6,24,   9.0,24,  20.0,  27.0,   71.8 ,  50.4 , 0.01A,999.9, 010010,
720137,04867, 20190424,   51.9,24,   40.6,24, 9999.9, 0,  994.6,24,  10.0,24,   4.7,24,   9.9,  15.9,   62.8*,  40.5*,99.99 ,999.9, 010000,
720137,04867, 20190425,   55.6,24,   41.7,24, 9999.9, 0,  987.8,24,  10.0,24,   1.8,24,  11.1,  14.0,   69.3 ,  40.1 , 0.00I,999.9, 000000,
720137,04867, 20190426,   56.0,24,   41.6,24, 9999.9, 0,  986.9,24,   9.8,24,  11.5,24,  21.0,  32.1,   66.2 ,  45.9 , 0.11G,999.9, 010000,
720137,04867, 20190427,   43.0,24,   34.3,24, 9999.9, 0,  991.1,24,   9.0,24,   7.9,24,  17.1,  22.9,   59.7 ,  34.0 , 0.00G,999.9, 011000,
720137,04867, 20190428,   40.7,24,   29.5,24, 9999.9, 0,  996.5,24,   9.2,24,   7.4,24,  17.1,  22.0,   55.9 ,  32.0 , 0.43G,999.9, 011000,
720137,04867, 20190429,   46.9,24,   41.1,24, 9999.9, 0,  996.0,16,   8.3,24,   8.3,24,  18.1,  19.0,   53.1 ,  41.9 , 0.80G,999.9, 010010,
720137,04867, 20190430,   47.8,24,   46.8,24, 9999.9, 0,  999.7,23,   6.9,24,   5.4,24,  15.9,  22.0,   52.7 ,  42.4 , 0.00G,999.9, 010010,
720137,04867, 20190501,   52.6,24,   51.5,24, 9999.9, 0,  991.7,19,   7.3,24,   8.0,24,  21.0, 999.9,   59.7 ,  46.4 , 1.45B,999.9, 010000,
720137,04867, 20190502,   51.3,24,   50.1,24, 9999.9, 0,  996.6,24,   5.8,24,   4.3,24,  11.1, 999.9,   59.4 ,  47.1 , 0.50B,999.9, 010010,
720137,04867, 20190503,   50.8,24,   44.7,24, 9999.9, 0,  997.2,24,   9.3,24,   3.5,24,   7.0,  15.0,   60.4 ,  44.6 ,99.99 ,999.9, 010000,
720137,04867, 20190504,   51.5,24,   41.0,24, 9999.9, 0,  994.9,24,  10.0,24,   2.9,24,   8.9, 999.9,   66.4 ,  40.5 ,99.99 ,999.9, 010000,
720137,04867, 20190505,   57.6,24,   42.0,24, 9999.9, 0,  991.3,24,  10.0,24,   2.8,24,   9.9,  15.0,   73.4 ,  41.2 , 0.00I,999.9, 000000,
720137,04867, 20190506,   62.1,24,   51.2,24, 9999.9, 0,  992.4,24,  10.0,24,   5.0,24,  11.1,  15.9,   75.4 ,  50.9 ,99.99 ,999.9, 010000,
720137,04867, 20190507,   50.1,24,   46.3,24, 9999.9, 0,  999.3,24,   9.4,24,   6.1,24,  11.1,  19.0,   60.3 ,  45.9 , 0.18G,999.9, 010000,
720137,04867, 20190508,   53.8,24,   44.7,24, 9999.9, 0,  996.6,24,  10.0,24,  10.4,24,  20.0,  24.1,   77.5 ,  45.7 , 0.03G,999.9, 010000,
720137,04867, 20190509,   62.7,24,   57.8,24, 9999.9, 0,  985.5,24,   8.0,24,  10.3,24,  18.1,  22.9,   76.1 ,  50.4 , 0.63G,999.9, 110000,
720137,04867, 20190510,   50.0,24,   40.8,24, 9999.9, 0,  996.0,24,  10.0,24,   7.3,24,  15.0,  17.1,   60.4 ,  44.8 , 0.00G,999.9, 010000,
720137,04867, 20190511,   48.8,24,   39.1,24, 9999.9, 0,  998.3,24,  10.0,24,   3.5,24,   8.9, 999.9,   58.3 ,  44.6 , 0.18A,999.9, 010000,
720137,04867, 20190512,   47.3,24,   40.8,24, 9999.9, 0,  990.7,24,  10.0,24,   3.7,24,   6.0, 999.9,   54.3 ,  44.1 , 0.07A,999.9, 010000,
720137,04867, 20190513,   50.9,24,   41.7,24, 9999.9, 0,  990.9,24,  10.0,24,   3.2,24,   8.0, 999.9,   65.8 ,  39.9 , 0.01A,999.9, 010000,
720137,04867, 20190514,   54.4,24,   40.7,24, 9999.9, 0,  994.9,24,   9.5,24,   1.8,24,   9.9,  18.1,   70.5 ,  40.5 , 0.00I,999.9, 000000,
720137,04867, 20190515,   62.7,24,   49.1,24, 9999.9, 0,  993.4,24,  10.0,24,   2.4,24,   7.0, 999.9,   75.4*,  52.0*, 0.00I,999.9, 000000,
720137,04867, 20190516,   65.2,24,   57.2,24, 9999.9, 0,  989.7,24,   9.4,24,   6.2,24,  15.0,  20.0,   76.3 ,  53.8 , 0.19B,999.9, 010010,
720137,04867, 20190517,   62.4,24,   58.3,24, 9999.9, 0,  987.8,24,   9.6,24,   6.9,24,  24.1,  33.0,   75.2 ,  51.8 , 0.31C,999.9, 010010,
720137,04867, 20190518,   57.1,24,   51.0,24, 9999.9, 0,  988.9,24,   9.5,24,   7.8,24,  22.9,  44.1,   82.2*,  46.6*, 0.72A,999.9, 010010,
720137,04867, 20190519,   69.6,24,   61.5,24, 9999.9, 0,  982.6,24,  10.0,24,  13.6,24,  22.9,  29.9,   77.0 ,  65.3 , 0.03A,999.9, 010000,
720137,04867, 20190520,   53.6,24,   46.4,24, 9999.9, 0,  993.2,24,  10.0,24,   9.0,24,  21.0,  26.0,   67.1 ,  46.4 , 0.00I,999.9, 000000,
720137,04867, 20190521,   49.1,24,   44.2,24, 9999.9, 0,  997.2,24,   9.7,24,   8.8,24,  21.0,  26.0,   54.5 ,  44.6 , 0.38G,999.9, 010000,
720137,04867, 20190522,   62.0,24,   54.5,24, 9999.9, 0,  989.4,24,   9.1,24,  14.3,24,  25.1,  34.0,   81.1*,  50.4*, 0.66G,999.9, 010010,
720137,04867, 20190523,   69.9,24,   59.7,24, 9999.9, 0,  993.0,24,   9.7,24,  11.7,24,  18.1,  25.1,   77.9 ,  61.7 , 0.25G,999.9, 010010,
720137,04867, 20190524,   64.2,24,   57.7,24, 9999.9, 0,  996.6,24,  10.0,24,   5.5,24,  13.0,  15.9,   78.8*,  56.7*, 0.06G,999.9, 010010,
